year,global_temp,abu_dhabi_temp,Global Temperature (10 years Moving Average),Abu Dhabi Temperature (10 years Moving Average)
1938,8.86,26.29,8.59,26.317
1939,8.76,26.13,8.642,26.27
1940,8.76,26.49,8.655,26.281
1941,8.77,26.88,8.66,26.315
1942,8.73,26.87,8.662,26.379
1943,8.76,26.42,8.704,26.415
1944,8.85,26.89,8.726,26.487
1945,8.58,26.45,8.732,26.488
1946,8.68,26.6,8.745,26.524
1947,8.8,26.85,8.755,26.587
1948,8.75,26.69,8.744,26.627
1949,8.59,26.29,8.727,26.643
1950,8.37,25.97,8.688,26.591
1951,8.63,26.69,8.674,26.572
1952,8.64,26.68,8.665,26.553
1953,8.87,26.89,8.676,26.6
1954,8.56,26.89,8.647,26.6
1955,8.63,26.62,8.652,26.617
1956,8.28,26.56,8.612,26.613
1957,8.73,26.26,8.605,26.554
1958,8.77,26.89,8.607,26.574
1959,8.73,26.43,8.621,26.588
1960,8.58,26.66,8.642,26.657
1961,8.8,26.57,8.659,26.645
1962,8.75,26.75,8.67,26.652
1963,8.86,26.61,8.669,26.624
1964,8.41,25.89,8.654,26.524
1965,8.53,26.63,8.644,26.525
1966,8.6,26.76,8.676,26.545
1967,8.7,26.47,8.673,26.566
1968,8.52,26.2,8.648,26.497
1969,8.6,27.09,8.635,26.563
1970,8.7,27.24,8.647,26.621
1971,8.6,26.47,8.627,26.611
1972,8.5,26.16,8.602,26.552
1973,8.95,26.54,8.611,26.545
1974,8.47,26.46,8.617,26.602
1975,8.74,26.49,8.638,26.588
1976,8.35,26.43,8.613,26.555
1977,8.85,27.43,8.628,26.651
1978,8.69,26.89,8.645,26.72
1979,8.73,26.96,8.658,26.707
1980,8.98,27.16,8.686,26.699
1981,9.17,26.93,8.743,26.745
1982,8.64,26.16,8.757,26.745
1983,9.03,26.19,8.765,26.71
1984,8.69,26.29,8.787,26.693
1985,8.66,26.63,8.779,26.707
1986,8.83,26.7,8.827,26.734
1987,8.99,26.91,8.841,26.682
1988,9.2,26.95,8.892,26.688
1989,8.92,26.38,8.911,26.63
1990,9.23,27.11,8.936,26.625
1991,9.18,26.46,8.937,26.578
1992,8.84,26.1,8.957,26.572
1993,8.87,27.02,8.941,26.655
1994,9.04,27.25,8.976,26.751
1995,9.35,26.75,9.045,26.763
1996,9.04,27.2,9.066,26.813
1997,9.2,26.87,9.087,26.809
1998,9.52,28.19,9.119,26.933
1999,9.29,28.16,9.156,27.111
2000,9.2,27.67,9.153,27.167
2001,9.41,27.82,9.176,27.303
2002,9.57,28,9.249,27.493
2003,9.53,28.12,9.315,27.603
2004,9.32,28.07,9.343,27.685
2005,9.7,27.9,9.378,27.8
2006,9.53,27.94,9.427,27.874
2007,9.73,28.08,9.48,27.995
2008,9.43,27.59,9.471,27.935
2009,9.51,28.04,9.493,27.923
2010,9.7,28.69,9.543,28.025
2011,9.52,28.25,9.554,28.068
2012,9.51,28.46,9.548,28.114
2013,9.61,28.01,9.556,28.103
